timestamp	time		fix	state	rawx	rawy	avgx	avgy	psize	Lrawx	Lrawy	Lavgx	Lavgy	Lpsize	Lpupilx	Lpupily	Rrawx	Rrawy	Ravgx	Ravgy	Rpsize	Rpupilx	Rpupily
37:50.6	572062583	35	TRUE	7	-583.3818	286.4943	-496.0637	339.0621	22.62315	-327.3591	252.9186	-327.3591	252.9186	23.0811	0.2798	0.4383	-839.4047	320.0699	-839.4047	320.0699	22.1652	0.4291	0.4396
37:50.6	572062618	34	TRUE	7	-539.2183	323.8436	-502.0182	336.9724	22.4759	-274.3707	332.0287	-274.3707	332.0287	23.0348	0.2799	0.4388	-804.0659	315.6585	-821.7127	317.8614	21.917	0.4292	0.4399
37:50.7	572062652	45	TRUE	7	-539.8723	343.9568	-506.8342	337.6724	22.7274	-166.9948	349.6134	-220.6143	340.8322	23.1532	0.2801	0.4387	-912.7498	338.3003	-852.1575	324.6996	22.3016	0.4291	0.4399
37:50.7	572062697	68	TRUE	7	-546.1821	350.3543	-511.4588	338.9398	22.839	-225.0575	355.0711	-222.0106	345.6136	23.2192	0.2801	0.4386	-867.3066	345.6375	-856.0722	330.0041	22.4588	0.4291	0.4399
37:50.8	572062765	35	FALSE	7	-602.8403	327.8287	-602.8403	327.8287	22.9201	-334.4024	314.277	-234.0584	344.7633	23.3061	0.2799	0.4388	-871.2783	341.3805	-871.2783	341.3805	22.5341	0.4291	0.4402
37:50.8	572062800	44	FALSE	7	-546.0385	351.9957	-574.4032	339.9276	23.20025	-256.0461	321.1513	-256.0461	321.1513	23.8077	0.2799	0.4389	-836.0309	382.8401	-836.0309	382.8401	22.5928	0.4291	0.4406
37:50.8	572062844	33	FALSE	7	-622.3768	332.4165	-590.4142	337.4338	23.4833	-364.53	308.33	-364.53	308.33	23.8969	0.2797	0.4393	-880.2235	356.5029	-858.1555	369.6547	23.0697	0.4289	0.4409
37:50.9	572062877	35	FALSE	7	-469.9411	358.0964	-560.0523	342.6513	23.3992	-147.5607	362.8562	-255.907	335.6279	23.9397	0.2796	0.4395	-792.3215	353.3367	-836.1551	364.1699	22.8587	0.4287	0.4409
37:50.9	572062912	45	FALSE	7	-601.7617	333.2355	-568.3577	340.7754	23.41855	-376.8289	315.5188	-296.2016	328.9427	23.9507	0.279	0.4396	-826.6945	350.9521	-833.7128	360.7986	22.8864	0.4284	0.4409
37:51.0	572062957	34	TRUE	7	-612.6786	354.3049	-575.8525	343.0967	23.5221	-390.2804	304.0388	-319.9483	322.6699	23.8678	0.2788	0.4398	-835.0768	404.5711	-833.9307	369.6372	23.1764	0.428	0.4412
37:51.0	572062991	35	TRUE	7	-555.4589	355.2255	-572.8693	344.9232	23.73645	-272.6781	330.4873	-310.5079	324.226	24.3362	0.2787	0.4399	-838.2397	379.9636	-834.6192	371.4322	23.1367	0.4278	0.4413
37:51.0	572063026	34	FALSE	7	339.3411	382.9626	339.3411	382.9626	23.544	386.807	396.4373	386.807	396.4373	24.0643	0.2809	0.44	291.8752	369.4879	291.8752	369.4879	23.0237	0.4302	0.4411
37:51.1	572063060	45	FALSE	7	510.792	444.0756	510.792	444.0756	23.2259	551.471	455.5732	551.471	455.5732	23.6619	0.2821	0.4407	470.1129	432.5779	470.1129	432.5779	22.7899	0.4313	0.4419
37:51.1	572063105	34	FALSE	7	527.0858	411.35	518.9493	427.6919	23.35115	583.7338	424.2606	567.623	439.8969	23.8395	0.2824	0.4408	470.4378	398.4394	470.2756	415.4869	22.8628	0.4316	0.4421
37:51.1	572063139	34	FALSE	7	527.5228	410.661	521.8331	421.9631	23.6699	569.1897	407.8588	568.1748	429.1456	23.7515	0.2825	0.4407	485.8559	413.4632	475.4914	414.7805	23.5883	0.4319	0.4422
37:51.2	572063173	35	FALSE	7	495.6066	413.712	515.2392	419.8395	23.30495	566.6959	437.3654	567.8242	431.1583	23.729	0.2828	0.4407	424.5172	390.0587	462.6541	408.5208	22.8809	0.4322	0.4422
37:51.2	572063208	35	FALSE	7	500.8557	397.1208	512.295	415.1801	23.52585	542.8632	385.3291	562.7709	421.8167	24.0383	0.2831	0.4405	458.8482	408.9124	461.8192	408.5434	23.0134	0.4326	0.4425
37:51.2	572063243	44	FALSE	7	517.7841	435.9454	517.7841	435.9454	23.57385	549.5464	436.0597	549.5464	436.0597	23.9683	0.2834	0.4407	486.0219	435.8311	486.0219	435.8311	23.1794	0.433	0.4428
37:51.3	572063287	35	FALSE	7	511.9838	387.338	511.9838	387.338	23.5345	531.6871	376.1252	531.6871	376.1252	24.2634	0.2835	0.4405	492.2805	398.5508	492.2805	398.5508	22.8056	0.4332	0.4427
37:51.3	572063322	35	FALSE	7	481.6119	421.4661	496.7785	404.4238	23.62065	512.3857	403.5533	522.0241	389.8567	24.1741	0.2836	0.4408	450.8381	439.379	471.5329	418.9909	23.0672	0.4332	0.4431
37:51.4	572063357	34	FALSE	7	530.4443	418.6505	508.0223	409.2152	23.2724	582.058	410.405	542.1041	396.7586	24.0926	0.2839	0.441	478.8306	426.896	473.9406	421.6718	22.4522	0.4334	0.4433
37:51.4	572063391	43	FALSE	7	484.5538	413.5012	502.1266	410.3359	23.27495	552.6752	410.4173	544.8348	400.2472	23.9383	0.284	0.4411	416.4324	416.585	459.4184	420.4246	22.6116	0.4334	0.4433
37:51.4	572063434	34	FALSE	7	523.3557	437.0661	506.4204	415.8018	22.92025	582.1643	431.3954	552.4823	406.6276	23.4007	0.2842	0.4413	464.5471	442.7368	460.3585	424.9759	22.4398	0.4336	0.4435
37:51.5	572063468	44	TRUE	7	516.4695	432.8181	508.1566	418.7809	22.73425	574.4347	438.706	556.3458	412.1977	23.4164	0.2843	0.4413	458.5043	426.9301	459.9673	425.364	22.0521	0.4338	0.4435
37:51.5	572063512	34	TRUE	7	508.3167	407.6351	508.2175	417.2319	22.54055	569.8601	436.5069	558.4817	415.9281	23.1607	0.2846	0.4413	446.7733	378.7633	457.9533	418.5356	21.9204	0.4341	0.4434
37:51.5	572063546	34	TRUE	7	509.7264	419.0671	508.4473	417.533	22.3246	562.9925	411.5657	559.2188	415.5284	22.8833	0.2847	0.4411	456.4604	426.5686	457.6758	419.5375	21.7659	0.4342	0.4437
37:51.6	572063580	34	FALSE	7	-543.6602	306.8065	-543.6602	306.8065	22.06895	-319.3663	257.8395	-319.3663	257.8395	22.5245	0.2817	0.4409	-767.9541	355.7736	-767.9541	355.7736	21.6134	0.431	0.4436
37:51.6	572063614	44	FALSE	7	-611.1074	337.1145	-611.1074	337.1145	22.1861	-343.3232	273.0197	-343.3232	273.0197	22.7177	0.2817	0.441	-878.8917	401.2094	-878.8917	401.2094	21.6545	0.4311	0.4439
37:51.7	572063658	35	FALSE	7	-526.9808	351.2948	-568.9904	344.2137	22.11665	-197.2744	318.2487	-270.2056	295.6631	22.6713	0.2819	0.4411	-856.6873	384.3409	-867.7753	392.7644	21.562	0.4311	0.4438
37:51.7	572063693	34	FALSE	7	-550.3047	302.4426	-562.664	330.2429	22.30435	-292.2447	284.8829	-277.4593	292.0928	22.5363	0.2816	0.4412	-808.3647	320.0023	-847.8688	368.3929	22.0724	0.4311	0.4437
37:51.7	572063727	34	FALSE	7	-603.0942	359.3592	-572.785	337.5427	22.48405	-268.6244	355.7918	-275.1667	308.1745	22.6513	0.2814	0.4417	-937.564	362.9265	-870.4031	366.9108	22.3168	0.4308	0.4439
37:51.8	572063761	45	FALSE	7	-561.7567	374.3231	-570.5466	345.0208	22.44485	-323.701	344.2372	-284.9583	315.6067	22.7565	0.2811	0.4419	-799.8124	404.4091	-856.1349	374.4349	22.1332	0.4306	0.4441
37:51.8	572063806	35	TRUE	7	-501.4247	362.0206	-558.7394	347.991	22.14115	-318.8443	284.0898	-290.7686	310.3826	22.116	0.281	0.4418	-684.0051	439.9515	-684.0051	439.9515	22.1663	0.4305	0.4443
37:51.8	572063841	33	TRUE	7	-582.3064	373.7684	-562.0769	351.8872	22.18625	-294.8845	358.9225	-291.4651	317.6178	22.4842	0.2808	0.4423	-869.7283	388.6143	-869.7283	388.6143	21.8883	0.4303	0.4444
37:51.9	572063874	45	TRUE	7	-499.4761	373.348	-553.8252	354.8189	22.1956	-213.3565	345.2673	-281.351	321.3826	22.761	0.2808	0.4422	-785.5958	401.4286	-827.6084	395.0296	21.6302	0.4302	0.4444
37:51.9	572063919	34	TRUE	7	-572.588	284.9166	-555.8381	346.7585	22.388	-321.4207	231.8772	-285.9802	311.0515	22.7179	0.2807	0.442	-823.7551	337.9561	-826.2471	375.9352	22.0581	0.4301	0.4444
37:52.0	572063953	35	FALSE	7	-702.5686	310.8647	-702.5686	310.8647	22.0787	-449.6384	256.8208	-449.6384	256.8208	22.4701	0.2805	0.4424	-955.4987	364.9086	-858.7905	373.0893	21.6873	0.43	0.4448
37:52.0	572063988	35	FALSE	7	-789.096	320.3359	-789.096	320.3359	22.40475	-513.0378	241.5243	-513.0378	241.5243	22.5725	0.2803	0.4426	-1065.1542	399.1474	-900.8472	378.3124	22.237	0.4298	0.445
37:52.0	572064023	34	FALSE	7	-629.2395	279.3045	-709.0658	299.794	22.16105	-491.3318	195.5104	-502.171	218.488	22.3492	0.2804	0.4425	-767.1473	363.0987	-767.1473	363.0987	21.9729	0.43	0.4449
37:52.1	572064057	44	FALSE	7	-658.5822	292.6721	-692.0308	297.3752	21.83185	-460.5523	218.1823	-488.2207	218.3466	22.0434	0.2803	0.4426	-856.6121	367.1619	-856.6121	367.1619	21.6203	0.4299	0.4449
37:52.1	572064101	34	FALSE	7	-741.9816	276.6352	-704.4648	292.1089	21.7308	-653.2349	162.3535	-529.7759	204.1939	21.813	0.2801	0.4425	-830.7283	390.9169	-843.6537	379.0545	21.6486	0.4299	0.445
37:52.1	572064135	34	FALSE	7	-607.1485	339.2529	-684.6494	301.6227	22.08675	-410.1895	279.2196	-505.6922	219.3198	22.2503	0.2804	0.4426	-804.1074	399.2862	-830.3936	385.8473	21.9232	0.43	0.4449
37:52.2	572064169	79	TRUE	7	-705.6318	274.0487	-688.0187	296.9509	22.33035	-510.5271	196.1684	-510.5271	196.1684	22.38	0.2804	0.4425	-900.7365	351.929	-848.0696	377.3328	22.2807	0.43	0.4449
37:52.2	572064248	35	FALSE	7	-588.6085	352.7224	-588.6085	352.7224	22.33555	-316.92	295.4602	-407.1697	256.9345	22.6717	0.2806	0.4428	-860.2971	409.9846	-835.0842	381.7676	21.9994	0.4301	0.4451
37:52.3	572064283	33	FALSE	7	-633.8803	354.2413	-611.2733	353.4828	22.51035	-362.6009	314.628	-392.097	276.3129	22.8044	0.2805	0.443	-905.1597	393.8546	-845.3924	383.5904	22.2163	0.43	0.4451
37:52.3	572064316	44	FALSE	7	-620.5903	310.2324	-614.4306	339.006	22.12975	-328.4418	256.3527	-375.8702	271.4005	22.3093	0.2806	0.4427	-912.7388	364.1121	-854.2926	381.1038	21.9502	0.43	0.4449
37:52.4	572064360	34	FALSE	7	-676.6593	291.2016	-630.1671	326.894	22.30585	-531.05	212.2244	-407.1488	259.4503	22.585	0.2802	0.4429	-822.2686	370.1788	-850.7578	379.8306	22.0267	0.43	0.4452
37:52.4	572064394	35	FALSE	7	-572.0386	314.9156	-618.4907	324.3455	22.45505	-313.3779	294.841	-313.3779	294.841	22.9812	0.2803	0.4431	-830.6992	334.9902	-848.7449	375.0063	21.9289	0.4298	0.4451
37:52.4	572064429	44	TRUE	7	-649.7192	293.2733	-623.8231	318.9293	22.0634	-489.8703	241.4032	-489.8703	241.4032	22.0817	0.2799	0.4433	-809.5681	345.1435	-844.9459	371.9398	22.0451	0.4297	0.4452
37:52.5	572064473	34	TRUE	7	-609.6628	319.8557	-621.7944	318.9106	22.34135	-438.1142	295.0008	-463.9593	268.2362	22.6573	0.2798	0.4437	-781.2115	344.7106	-839.0476	369.2605	22.0254	0.4295	0.4454
37:52.5	572064507	35	TRUE	7	-641.1245	298.3184	-624.3441	316.0893	22.28475	-401.8482	270.9683	-443.1237	269.1963	22.3718	0.2796	0.4437	-880.4008	325.6685	-842.4792	365.2646	22.1977	0.4291	0.4455
37:52.5	572064542	34	TRUE	7	-598.2847	314.8025	-621.3411	315.7815	22.28725	-340.1339	295.1501	-417.0345	275.7799	22.7988	0.2792	0.4439	-856.4356	334.4548	-843.5728	362.438	21.7757	0.4288	0.4455
37:52.6	572064576	45	TRUE	7	-690.2136	288.2632	-628.7294	312.6884	22.21805	-388.9869	229.5048	-411.0928	266.4524	22.1562	0.2789	0.4438	-991.4402	347.0217	-991.4402	347.0217	22.2799	0.4284	0.4456
37:52.6	572064621	34	TRUE	7	-667.9688	311.1559	-632.7615	312.3533	22.5202	-456.023	252.8995	-418.5053	264.1188	22.9348	0.2786	0.4441	-879.9145	369.4122	-879.9145	369.4122	22.1056	0.4281	0.4457
37:52.7	572064655	35	TRUE	7	-526.3341	338.5226	-623.1516	314.6025	22.3235	-298.1924	313.3381	-298.1924	313.3381	22.483	0.2786	0.4443	-754.4758	363.707	-817.1151	366.556	22.164	0.4281	0.4458
37:52.7	572064690	34	TRUE	7	-626.9253	330.9138	-623.439	315.9269	22.67435	-375.4197	273.886	-375.4197	273.886	23.0088	0.2784	0.4444	-878.4309	387.9415	-837.5342	373.7099	22.3399	0.4279	0.446
37:52.7	572064724	46	TRUE	7	-607.0889	305.9568	-622.0643	315.0654	22.18595	-417.7546	281.86	-396.6142	277.8781	22.5069	0.2783	0.4447	-796.4232	330.0537	-827.1636	362.7221	21.865	0.4279	0.4461
37:52.8	572064770	35	TRUE	7	-621.595	297.2325	-621.9579	313.6119	22.53855	-403.4261	235.7111	-398.9304	263.7694	22.7294	0.2784	0.4449	-839.7639	358.754	-829.6589	361.8683	22.3477	0.4278	0.4465
37:52.8	572064805	68	TRUE	7	-561.3923	368.4161	-617.35	317.6277	22.7517	-334.1653	329.1817	-382.6299	280.2198	23.4346	0.2784	0.4453	-788.6193	407.6506	-788.6193	407.6506	22.0688	0.4278	0.4468
37:52.9	572064873	341	TRUE	7	-674.0804	296.5561	-624.7932	315.1616	22.5835	-397.4739	231.6275	-389.179	264.4419	22.8785	0.2782	0.4452	-950.687	361.4846	-945.0659	364.8242	22.2885	0.4276	0.4468
37:53.2	572065214	328	TRUE	7	-627.2115	305.3815	-644.4877	317.5848	21.90235	-364.5516	258.0664	-383.9906	264.0045	22.5926	0.278	0.4462	-889.8715	352.6965	-882.3563	363.4964	21.2121	0.4272	0.4476
37:53.5	572065542	181	FALSE	7	530.7957	439.7837	488.5608	428.8855	22.5565	555.8546	438.2697	536.1136	429.5505	23.4094	0.2813	0.4456	505.7368	441.2977	441.008	428.2206	21.7036	0.4304	0.4468
37:53.7	572065723	112	TRUE	7	528.3105	419.138	510.4659	425.1683	22.31575	569.2018	420.1071	556.254	425.594	23.0648	0.2818	0.4462	487.4192	418.1689	464.6779	424.7424	21.5667	0.431	0.4476
37:53.8	572065835	46	TRUE	7	508.1904	374.1335	513.474	420.1783	21.4958	561.3333	342.0223	561.6761	415.4265	22.0307	0.2823	0.4454	455.0475	406.2447	465.2719	424.9301	20.9609	0.4317	0.4476
37:53.9	572065881	34	TRUE	7	552.0602	435.0124	517.46	421.538	21.3695	624.1666	456.913	568.0204	419.32	22.0815	0.2826	0.446	479.9537	413.1118	466.8997	423.7558	20.6575	0.4319	0.4477
37:53.9	572065915	33	TRUE	7	500.4649	404.7121	516.1207	419.9165	21.60195	549.9014	397.1613	566.6219	417.1682	22.5816	0.2826	0.4457	451.0283	412.2628	465.6194	422.6648	20.6223	0.4321	0.4479
37:53.9	572065948	35	TRUE	7	530.4064	350.6846	517.5294	413.8084	21.2185	579.4266	349.8543	567.9415	411.1809	22.1556	0.283	0.4454	481.3862	351.515	467.1171	416.4361	20.2814	0.4324	0.4476
37:54.0	572065983	45	TRUE	7	519.8163	374.727	517.9007	410.3482	21.48275	599.0707	374.1768	570.7162	407.8546	22.2535	0.2832	0.4456	440.5619	375.2772	465.0851	412.8419	20.712	0.4326	0.4478
37:54.0	572066028	34	TRUE	7	526.4198	403.8176	518.7374	409.5154	21.6279	576.4573	399.6048	571.4344	406.8593	22.5192	0.2834	0.4455	476.3823	408.0304	466.0403	412.1715	20.7366	0.4329	0.4478
37:54.1	572066062	35	TRUE	7	539.6744	374.3573	520.4793	406.5667	21.0717	581.6175	376.3675	572.4564	404.2318	22.1173	0.2837	0.445	497.7313	372.3471	468.5023	408.9016	20.0261	0.4333	0.4476
37:54.1	572066097	34	TRUE	7	521.8259	409.6607	520.7822	406.4155	21.0616	597.6849	418.5645	574.536	404.8772	21.6748	0.2841	0.4451	445.9669	400.7569	467.0282	407.9539	20.4484	0.4336	0.4476
37:54.1	572066131	44	TRUE	7	536.3102	384.0098	522.0546	404.5143	21.22735	592.281	369.7146	576.0714	402.1023	22.2114	0.2844	0.4447	480.3394	398.305	468.038	406.9265	20.2433	0.4339	0.4475
37:54.2	572066175	34	TRUE	7	519.3868	412.1276	522.0842	404.662	21.1976	605.4392	411.3069	578.3748	402.3423	22.1259	0.2846	0.4449	433.3344	412.9483	465.7933	406.9817	20.2693	0.4339	0.4476
37:54.2	572066209	35	TRUE	7	541.6248	378.7123	523.5555	402.633	21.10445	591.0818	367.48	579.5751	399.7168	21.9398	0.2846	0.4446	492.1678	389.9446	467.536	405.5491	20.2691	0.4341	0.4475
37:54.2	572066244	34	TRUE	7	533.8107	363.2932	524.4312	399.7431	21.04145	590.9526	372.503	580.673	397.5771	21.8137	0.2847	0.4446	476.6687	354.0833	468.1895	401.9091	20.2692	0.4342	0.4474
37:54.3	572066278	45	TRUE	7	532.5216	375.8832	525.1638	397.8097	21.2843	598.5195	355.3813	582.1625	394.4913	22.0441	0.2848	0.4444	466.5238	396.3851	468.165	401.128	20.5245	0.4342	0.4476
37:54.3	572066323	34	TRUE	7	536.1262	404.2036	526.066	397.7484	20.9695	554.4582	370.415	580.8271	392.5002	21.7692	0.2846	0.4443	517.7943	437.9921	471.305	402.9964	20.1698	0.4343	0.4477
37:54.4	572066357	34	TRUE	7	512.3408	408.613	525.4619	398.0065	20.95405	584.5584	382.8655	581.3286	391.3887	21.5234	0.2848	0.4443	440.1232	434.3605	469.5952	404.6245	20.3847	0.4342	0.4476
37:54.4	572066391	34	TRUE	7	535.3124	383.6009	526.2285	396.8015	20.74265	575.703	357.3263	581.2461	388.8338	21.3658	0.2849	0.4442	494.9217	409.8755	471.2108	404.7695	20.1195	0.4346	0.4475
37:54.4	572066425	46	TRUE	7	551.0004	356.7092	528.878	393.7854	20.5814	602.0563	371.2454	583.504	386.8228	21.347	0.2852	0.4444	499.9445	342.1731	474.2519	400.7482	19.8158	0.4349	0.4475
37:54.5	572066471	34	TRUE	7	533.7043	388.3369	529.3071	392.4893	21.04125	602.5659	396.1873	585.1758	386.2164	21.6911	0.2853	0.4444	464.8427	380.4866	473.4383	398.7621	20.3914	0.4349	0.4477
37:54.5	572066505	35	TRUE	7	526.4749	386.9908	530.024	391.5747	21.1147	573.6968	383.6264	585.23	385.0171	21.7125	0.2853	0.4443	479.2529	390.3551	474.8181	398.1324	20.5169	0.4351	0.4477
37:54.5	572066540	34	TRUE	7	508.4361	419.2921	528.8039	392.4586	21.342	595.7273	436.3396	586.1048	387.5282	22.2179	0.2855	0.4445	421.145	402.2445	471.5029	397.3891	20.4661	0.435	0.4478
37:54.6	572066574	45	TRUE	7	497.6166	373.4021	526.9515	390.4372	21.01835	544.6456	362.9771	583.8521	385.0173	21.5485	0.2854	0.4441	450.5876	383.8271	470.0508	395.8571	20.4882	0.4352	0.4477
37:54.6	572066619	35	TRUE	7	514.4279	406.3046	526.081	391.0185	21.2334	571.2686	400.0537	583.39	385.5694	21.8733	0.2855	0.4443	457.5871	412.5555	468.7721	396.4675	20.5935	0.4352	0.4478
37:54.7	572066654	35	TRUE	7	562.6539	374.3625	528.1602	389.5929	21.3927	598.8854	408.7841	584.4136	386.4741	22.2635	0.2857	0.4444	526.4223	339.941	471.9069	392.7115	20.5219	0.4355	0.4476
37:54.7	572066689	35	TRUE	7	496.6097	404.169	526.4436	390.01	21.58055	551.3533	421.0972	582.5018	388.2117	22.5568	0.2856	0.4444	441.8661	387.2409	470.3854	391.8081	20.6043	0.4353	0.4478
37:54.7	572066724	44	TRUE	7	496.6267	376.8563	524.4826	388.6553	21.68515	596.2044	366.5583	583.1859	386.6583	22.2849	0.2859	0.4442	397.049	387.1543	465.7794	390.6523	21.0854	0.4353	0.4479
37:54.8	572066768	34	TRUE	7	497.8828	373.8325	522.9191	387.9403	21.54565	575.6083	373.7022	582.8878	386.5658	22.5065	0.286	0.4442	420.1574	373.9628	462.9505	389.3148	20.5848	0.4356	0.4479
37:54.8	572066802	35	TRUE	7	497.483	408.0771	520.7892	388.522	21.6992	576.3365	432.1034	581.846	388.5049	22.5858	0.2861	0.4444	418.6296	384.0508	459.7324	388.539	20.8126	0.4357	0.448
37:54.8	572066837	33	TRUE	7	541.6198	399.0779	522.0108	389.0058	21.7658	589.8955	403.6177	582.6038	389.5562	22.6268	0.2863	0.4442	493.3441	394.538	461.4179	388.4555	20.9048	0.436	0.4481
37:54.9	572066870	44	TRUE	7	534.1638	407.4245	522.4107	390.6676	21.83645	583.5961	387.6739	582.5856	390.2125	22.692	0.2863	0.4441	484.7316	427.1752	462.236	391.1227	20.9809	0.436	0.4483
37:54.9	572066914	34	TRUE	7	537.4791	408.387	523.1746	392.0237	21.5347	569.8286	370.853	581.5104	389.4722	22.1277	0.2863	0.4442	505.1295	445.921	464.8387	394.5754	20.9417	0.4361	0.4485
37:54.9	572066948	34	TRUE	7	514.7398	403.528	522.5068	392.6982	21.54075	606.7743	403.599	582.973	390.3437	22.3382	0.2864	0.4445	422.7053	403.457	462.0405	395.0526	20.7433	0.436	0.4485
37:55.0	572066982	43	TRUE	7	519.6354	422.6447	521.9959	394.8858	21.43025	579.5141	432.7555	582.7383	393.2454	22.2024	0.2864	0.4446	459.7568	412.5339	461.2536	396.5265	20.6581	0.436	0.4486
37:55.0	572067025	147	TRUE	7	519.9662	413.2518	521.7679	396.0309	21.48105	570.9236	413.2174	581.8	394.4077	22.5723	0.2865	0.4444	469.0088	413.2861	461.7361	397.6542	20.3898	0.4362	0.4485
37:55.2	572067172	294	TRUE	7	524.8228	374.3775	520.1157	395.4046	21.1601	591.8791	397.4688	577.7955	394.6956	22.0563	0.2873	0.4442	457.7664	351.2863	462.4362	396.1135	20.2639	0.437	0.4483
37:55.5	572067466	113	TRUE	7	532.0399	375.2938	520.0484	390.7122	20.62345	593.5056	364.1375	574.7911	390.0584	21.2906	0.2871	0.4444	470.5742	386.4501	465.3058	391.3661	19.9563	0.4368	0.4488
37:55.6	572067579	34	TRUE	7	544.3482	388.33	523.2936	387.5437	20.49585	564.9795	384.7147	577.3701	383.3708	21.0302	0.2868	0.4449	523.7169	391.9453	469.2173	391.7164	19.9615	0.4368	0.4491
